Path Cost Node 2,Probability Node 2,CDF Node 2
1.30576,2.66631e-05,2.66631e-05
1.30976,2.71469e-05,5.38099e-05
1.31376,2.76384e-05,8.14484e-05
1.31776,2.81379e-05,0.000109586
1.32176,2.86454e-05,0.000138232
1.32576,2.91609e-05,0.000167393
1.32976,2.96847e-05,0.000197077
1.33376,3.02168e-05,0.000227294
1.33776,3.07573e-05,0.000258051
1.34176,3.13064e-05,0.000289358
1.34576,3.18641e-05,0.000321222
1.34976,3.24306e-05,0.000353652
1.35376,3.30059e-05,0.000386658
1.35776,3.35903e-05,0.000420249
1.36176,3.41838e-05,0.000454433
1.36576,3.47865e-05,0.000489219
1.36976,3.53986e-05,0.000524618
1.37376,3.60201e-05,0.000560638
1.37776,3.66513e-05,0.000597289
1.38176,3.72921e-05,0.000634581
1.38576,3.79428e-05,0.000672524
1.38976,3.86035e-05,0.000711127
1.39376,3.92742e-05,0.000750402
1.39776,3.99552e-05,0.000790357
1.40176,4.06465e-05,0.000831003
1.40576,4.13482e-05,0.000872351
1.40976,4.20606e-05,0.000914412
1.41376,4.27837e-05,0.000957196
1.41776,4.35177e-05,0.00100071
1.42176,4.42627e-05,0.00104498
1.42576,4.50188e-05,0.00108999
1.42976,4.57862e-05,0.00113578
1.43376,4.65649e-05,0.00118235
1.43776,4.73553e-05,0.0012297
1.44176,4.81573e-05,0.00127786
1.44576,4.89711e-05,0.00132683
1.44976,4.97969e-05,0.00137663
1.45376,5.06347e-05,0.00142726
1.45776,5.14849e-05,0.00147875
1.46176,5.23474e-05,0.00153109
1.46576,5.32224e-05,0.00158432
1.46976,5.41101e-05,0.00163843
1.47376,5.50107e-05,0.00169344
1.47776,5.59242e-05,0.00174936
1.48176,5.68509e-05,0.00180621
1.48576,5.77908e-05,0.001864
1.48976,5.87442e-05,0.00192275
1.49376,5.97111e-05,0.00198246
1.49776,6.06917e-05,0.00204315
1.50176,6.16863e-05,0.00210484
1.50576,6.26949e-05,0.00216753
1.50976,6.37177e-05,0.00223125
1.51376,6.47548e-05,0.002296
1.51776,6.58064e-05,0.00236181
1.52176,6.68728e-05,0.00242868
1.52576,6.79539e-05,0.00249664
1.52976,6.90501e-05,0.00256569
1.53376,7.01614e-05,0.00263585
1.53776,7.1288e-05,0.00270714
1.54176,7.24301e-05,0.00277957
1.54576,7.35878e-05,0.00285315
1.54976,7.47614e-05,0.00292792
1.55376,7.5951e-05,0.00300387
1.55776,7.71566e-05,0.00308102
1.56176,7.83787e-05,0.0031594
1.56576,7.96172e-05,0.00323902
1.56976,8.08723e-05,0.00331989
1.57376,8.21443e-05,0.00340204
1.57776,8.34333e-05,0.00348547
1.58176,8.47395e-05,0.00357021
1.58576,8.6063e-05,0.00365627
1.58976,8.74041e-05,0.00374367
1.59376,8.87628e-05,0.00383244
1.59776,9.01394e-05,0.00392258
1.60176,9.15341e-05,0.00401411
1.60576,9.2947e-05,0.00410706
1.60976,9.43784e-05,0.00420144
1.61376,9.58283e-05,0.00429726
1.61776,9.7297e-05,0.00439456
1.62176,9.87846e-05,0.00449335
1.62576,0.000100291,0.00459364
1.62976,0.000101817,0.00469546
1.63376,0.000103363,0.00479882
1.63776,0.000104928,0.00490375
1.64176,0.000106514,0.00501026
1.64576,0.000108119,0.00511838
1.64976,0.000109744,0.00522812
1.65376,0.00011139,0.00533951
1.65776,0.000113057,0.00545257
1.66176,0.000114744,0.00556731
1.66576,0.000116452,0.00568377
1.66976,0.000118182,0.00580195
1.67376,0.000119932,0.00592188
1.67776,0.000121705,0.00604358
1.68176,0.000123499,0.00616708
