Path Cost Cserna,Probability Cserna,CDF Cserna
1.28844,0.00276278,0.00276278
1.32744,0.00304953,0.00581231
1.36644,0.00335763,0.00916994
1.40544,0.00368764,0.0128576
1.44444,0.00403997,0.0168975
1.48322,0.0071188,0.0240164
1.52222,0.00776916,0.0317855
1.56122,0.00845494,0.0402405
1.60022,0.00917497,0.0494154
1.63922,0.00992758,0.059343
1.67821,0.0107106,0.0700536
1.71721,0.0115213,0.0815749
1.75621,0.0123565,0.0939315
1.79521,0.0132123,0.107144
1.83421,0.0140844,0.121228
1.87321,0.0149678,0.136196
1.91221,0.0158571,0.152053
1.95121,0.0167462,0.168799
1.9902,0.0176289,0.186428
2.0292,0.0184982,0.204926
2.0682,0.0193472,0.224274
2.1072,0.0201684,0.244442
2.1462,0.0209543,0.265396
2.1852,0.0216974,0.287094
2.2242,0.0223902,0.309484
2.2632,0.0230255,0.332509
2.30219,0.0235962,0.356106
2.34119,0.0240959,0.380202
2.38019,0.0245186,0.40472
2.41919,0.0248589,0.429579
2.45819,0.0251123,0.454691
2.49719,0.0252751,0.479966
2.53619,0.0253448,0.505311
2.57519,0.0253195,0.530631
2.61419,0.0251986,0.555829
2.65318,0.0249828,0.580812
2.69218,0.0246736,0.605486
2.73118,0.0242738,0.62976
2.77018,0.023787,0.653547
2.80918,0.023218,0.676765
2.84818,0.0225727,0.699337
2.88718,0.0218574,0.721195
2.92618,0.0210793,0.742274
2.96518,0.0202464,0.76252
3.00418,0.0193668,0.781887
3.04318,0.0184491,0.800336
3.08217,0.017502,0.817838
3.12117,0.0165342,0.834372
3.16017,0.0155543,0.849927
3.19917,0.0145706,0.864497
3.23817,0.0135912,0.878088
3.27717,0.0126233,0.890712
3.31617,0.011674,0.902386
3.35517,0.0107494,0.913135
3.39417,0.00985506,0.92299
3.43317,0.00899562,0.931986
3.47217,0.00817507,0.940161
3.51117,0.00739657,0.947557
3.55017,0.00666253,0.95422
3.58917,0.00597457,0.960194
3.62816,0.00533364,0.965528
3.66716,0.00474003,0.970268
3.70616,0.00419341,0.974462
3.74516,0.00369296,0.978155
3.78416,0.00323735,0.981392
3.82316,0.00282491,0.984217
3.86216,0.00245361,0.98667
3.90116,0.00212121,0.988792
3.94016,0.00182526,0.990617
3.97916,0.0015632,0.99218
4.01816,0.00133241,0.993512
4.05716,0.00113028,0.994643
4.09616,0.000954184,0.995597
4.13516,0.00080161,0.996399
4.17416,0.000670126,0.997069
4.21316,0.000557426,0.997626
4.25216,0.000461349,0.998087
4.29116,0.000379885,0.998467
4.33016,0.000311185,0.998779
4.36916,0.000253564,0.999032
4.40816,0.000205499,0.999238
4.44716,0.000165627,0.999403
4.48616,0.000132733,0.999536
4.52516,0.000105749,0.999642
4.56416,8.37E-05,0.999725
4.60316,6.59E-05,0.999791
4.64216,5.15E-05,0.999843
4.68116,4.00E-05,0.999883
4.72016,3.08E-05,0.999914
4.75916,2.35E-05,0.999937
4.79816,1.78E-05,0.999955
4.83717,1.33E-05,0.999968
4.87617,9.88E-06,0.999978
4.91517,7.22E-06,0.999985
4.95418,5.19E-06,0.99999
4.99319,3.66E-06,0.999994
5.0322,2.52E-06,0.999997
5.07122,1.67E-06,0.999998
5.11025,1.05E-06,0.999999
5.14931,6.11E-07,1
