Path Cost Node 2,Probability Node 2,CDF Node 2
1.48287,0.00276278,0.00276278
1.52187,0.00304953,0.00581231
1.56087,0.00335763,0.00916994
1.59987,0.00368764,0.0128576
1.63887,0.00403997,0.0168975
1.67787,0.00441491,0.0213125
1.71687,0.0048126,0.0261251
1.75587,0.00523301,0.0313581
1.79487,0.00567594,0.037034
1.83387,0.00614099,0.043175
1.87287,0.00662756,0.0498026
1.91187,0.00713482,0.0569374
1.95087,0.00766172,0.0645991
1.98987,0.00820699,0.0728061
2.02887,0.00876912,0.0815752
2.06787,0.00934636,0.0909216
2.10687,0.00993672,0.100858
2.14587,0.010538,0.111396
2.18487,0.0111477,0.122544
2.22387,0.0117633,0.134307
2.26287,0.0123819,0.146689
2.30187,0.0130005,0.15969
2.34087,0.0136159,0.173306
2.37987,0.0142248,0.18753
2.41887,0.0148238,0.202354
2.45787,0.0154095,0.217764
2.49687,0.0159784,0.233742
2.53587,0.0165269,0.250269
2.57487,0.0170515,0.267321
2.61387,0.0175488,0.284869
2.65287,0.0180156,0.302885
2.69187,0.0184486,0.321333
2.73087,0.0188448,0.340178
2.76987,0.0192015,0.35938
2.80887,0.019516,0.378896
2.84787,0.0197862,0.398682
2.88687,0.0200101,0.418692
2.92587,0.0201859,0.438878
2.96487,0.0203125,0.459191
3.00387,0.0203888,0.479579
3.04287,0.0204143,0.499994
3.08187,0.0203888,0.520383
3.12087,0.0203125,0.540695
3.15987,0.0201859,0.560881
3.19887,0.0200101,0.580891
3.23787,0.0197862,0.600677
3.27687,0.019516,0.620193
3.31587,0.0192015,0.639395
3.35487,0.0188448,0.65824
3.39387,0.0184486,0.676688
3.43287,0.0180156,0.694704
3.47187,0.0175488,0.712253
3.51087,0.0170515,0.729304
3.54987,0.0165269,0.745831
3.58887,0.0159784,0.761809
3.62787,0.0154095,0.777219
3.66687,0.0148238,0.792043
3.70587,0.0142248,0.806267
3.74487,0.0136159,0.819883
3.78387,0.0130005,0.832884
3.82287,0.0123819,0.845266
3.86187,0.0117633,0.857029
3.90087,0.0111477,0.868177
3.93987,0.010538,0.878715
3.97887,0.00993672,0.888652
4.01787,0.00934636,0.897998
4.05687,0.00876912,0.906767
4.09587,0.00820699,0.914974
4.13487,0.00766172,0.922636
4.17387,0.00713482,0.929771
4.21287,0.00662756,0.936398
4.25187,0.00614099,0.942539
4.29087,0.00567594,0.948215
4.32987,0.00523301,0.953448
4.36887,0.0048126,0.958261
4.40787,0.00441491,0.962676
4.44687,0.00403997,0.966716
4.48587,0.00368764,0.970403
4.52487,0.00335763,0.973761
4.56387,0.00304953,0.97681
4.60287,0.00276278,0.979573
4.64187,0.00249674,0.98207
4.68087,0.00225069,0.984321
4.71987,0.00202382,0.986344
4.75887,0.00181527,0.98816
4.79787,0.00162415,0.989784
4.83687,0.00144953,0.991233
4.87587,0.00129044,0.992524
4.91487,0.00114595,0.99367
4.95387,0.0010151,0.994685
4.99287,0.000896943,0.995582
5.03187,0.00079056,0.996372
5.07087,0.000695056,0.997067
5.10987,0.000609563,0.997677
5.14887,0.000533251,0.99821
5.18787,0.000465328,0.998676
5.22687,0.000405043,0.999081
5.26587,0.000351687,0.999432
5.30487,0.000304598,0.999737
5.34387,0.000263155,1
