Path Cost Node 2,Probability Node 2,CDF Node 2
0.706885,0.019802,0.019802
0.716885,0.019604,0.0394059
0.726885,0.0194059,0.0588119
0.736885,0.0192079,0.0780198
0.746885,0.0190099,0.0970297
0.756885,0.0188119,0.115842
0.766885,0.0186139,0.134455
0.776885,0.0184158,0.152871
0.786885,0.0182178,0.171089
0.796885,0.0180198,0.189109
0.806885,0.0178218,0.206931
0.816885,0.0176238,0.224554
0.826885,0.0174257,0.24198
0.836885,0.0172277,0.259208
0.846885,0.0170297,0.276238
0.856885,0.0168317,0.293069
0.866885,0.0166337,0.309703
0.876885,0.0164356,0.326139
0.886885,0.0162376,0.342376
0.896885,0.0160396,0.358416
0.906885,0.0158416,0.374257
0.916885,0.0156436,0.389901
0.926885,0.0154455,0.405347
0.936885,0.0152475,0.420594
0.946885,0.0150495,0.435644
0.956885,0.0148515,0.450495
0.966885,0.0146535,0.465149
0.976885,0.0144554,0.479604
0.986885,0.0142574,0.493861
0.996885,0.0140594,0.507921
1.00689,0.0138614,0.521782
1.01689,0.0136634,0.535446
1.02689,0.0134653,0.548911
1.03689,0.0132673,0.562178
1.04689,0.0130693,0.575248
1.05689,0.0128713,0.588119
1.06689,0.0126733,0.600792
1.07689,0.0124752,0.613267
1.08689,0.0122772,0.625545
1.09689,0.0120792,0.637624
1.10689,0.0118812,0.649505
1.11689,0.0116832,0.661188
1.12689,0.0114851,0.672673
1.13689,0.0112871,0.68396
1.14689,0.0110891,0.69505
1.15689,0.0108911,0.705941
1.16689,0.0106931,0.716634
1.17689,0.010495,0.727129
1.18689,0.010297,0.737426
1.19689,0.010099,0.747525
1.20689,0.00990099,0.757426
1.21689,0.00970297,0.767129
1.22689,0.00950495,0.776634
1.23689,0.00930693,0.785941
1.24689,0.00910891,0.79505
1.25689,0.00891089,0.80396
1.26689,0.00871287,0.812673
1.27689,0.00851485,0.821188
1.28689,0.00831683,0.829505
1.29689,0.00811881,0.837624
1.30689,0.00792079,0.845545
1.31689,0.00772277,0.853267
1.32689,0.00752475,0.860792
1.33689,0.00732673,0.868119
1.34689,0.00712871,0.875248
1.35689,0.00693069,0.882178
1.36689,0.00673267,0.888911
1.37689,0.00653465,0.895446
1.38689,0.00633663,0.901782
1.39689,0.00613861,0.907921
1.40689,0.00594059,0.913861
1.41689,0.00574257,0.919604
1.42689,0.00554455,0.925149
1.43689,0.00534653,0.930495
1.44689,0.00514851,0.935644
1.45689,0.0049505,0.940594
1.46689,0.00475248,0.945347
1.47689,0.00455446,0.949901
1.48689,0.00435644,0.954257
1.49689,0.00415842,0.958416
1.50689,0.0039604,0.962376
1.51689,0.00376238,0.966139
1.52689,0.00356436,0.969703
1.53689,0.00336634,0.973069
1.54689,0.00316832,0.976238
1.55689,0.0029703,0.979208
1.56689,0.00277228,0.98198
1.57689,0.00257426,0.984554
1.58689,0.00237624,0.986931
1.59689,0.00217822,0.989109
1.60689,0.0019802,0.991089
1.61689,0.00178218,0.992871
1.62689,0.00158416,0.994455
1.63689,0.00138614,0.995842
1.64689,0.00118812,0.99703
1.65689,0.000990099,0.99802
1.66689,0.000792079,0.998812
1.67689,0.000594059,0.999406
1.68689,0.00039604,0.999802
1.69689,0.00019802,1
