Squish Cost,Squish Probability
0.440801,0.00276278
0.507468,0.00304953
0.574135,0.00335763
0.640801,0.00368764
0.707468,0.00403997
0.774135,0.00441491
0.840801,0.0048126
0.907468,0.00523301
0.974135,0.00567594
1.0408,0.00614099
1.10747,0.00662756
1.17413,0.00713482
1.2408,0.00766172
1.30747,0.00820699
1.37413,0.00876912
1.4408,0.00934636
1.50747,0.00993672
1.57413,0.010538
1.6408,0.0111477
1.70747,0.0117633
1.77413,0.0123819
1.8408,0.0130005
1.90747,0.0136159
1.97413,0.0142248
2.0408,0.0148238
2.10747,0.0154095
2.17413,0.0159784
2.2408,0.0165269
2.30747,0.0170515
2.37413,0.0175488
2.4408,0.0180156
2.50747,0.0184486
2.57413,0.0188448
2.6408,0.0192015
2.70747,0.019516
2.77413,0.0197862
2.8408,0.0200101
2.90747,0.0201859
2.97413,0.0203125
3.0408,0.0203888
3.10747,0.0204143
3.17413,0.0203888
3.2408,0.0203125
3.30747,0.0201859
3.37413,0.0200101
3.4408,0.0197862
3.50747,0.019516
3.57413,0.0192015
3.6408,0.0188448
3.70747,0.0184486
3.77413,0.0180156
3.8408,0.0175488
3.90747,0.0170515
3.97413,0.0165269
4.0408,0.0159784
4.10747,0.0154095
4.17413,0.0148238
4.2408,0.0142248
4.30747,0.0136159
4.37413,0.0130005
4.4408,0.0123819
4.50747,0.0117633
4.57413,0.0111477
4.6408,0.010538
4.70747,0.00993672
4.77413,0.00934636
4.8408,0.00876912
4.90747,0.00820699
4.97413,0.00766172
5.0408,0.00713482
5.10747,0.00662756
5.17413,0.00614099
5.2408,0.00567594
5.30747,0.00523301
5.37413,0.0048126
5.4408,0.00441491
5.50747,0.00403997
5.57413,0.00368764
5.6408,0.00335763
5.70747,0.00304953
5.77413,0.00276278
5.8408,0.00249674
5.90747,0.00225069
5.97413,0.00202382
6.0408,0.00181527
6.10747,0.00162415
6.17413,0.00144953
6.2408,0.00129044
6.30747,0.00114595
6.37413,0.0010151
6.4408,0.000896943
6.50747,0.00079056
6.57413,0.000695056
6.6408,0.000609563
6.70747,0.000533251
6.77413,0.000465328
6.8408,0.000405043
6.90747,0.000351687
6.97413,0.000304598
7.0408,0.000263155
