Path Cost Node 2,Probability Node 2,CDF Node 2
0.706885,0.01,0.01
0.716885,0.01,0.02
0.726885,0.01,0.03
0.736885,0.01,0.04
0.746885,0.01,0.05
0.756885,0.01,0.06
0.766885,0.01,0.07
0.776885,0.01,0.08
0.786885,0.01,0.09
0.796885,0.01,0.1
0.806885,0.01,0.11
0.816885,0.01,0.12
0.826885,0.01,0.13
0.836885,0.01,0.14
0.846885,0.01,0.15
0.856885,0.01,0.16
0.866885,0.01,0.17
0.876885,0.01,0.18
0.886885,0.01,0.19
0.896885,0.01,0.2
0.906885,0.01,0.21
0.916885,0.01,0.22
0.926885,0.01,0.23
0.936885,0.01,0.24
0.946885,0.01,0.25
0.956885,0.01,0.26
0.966885,0.01,0.27
0.976885,0.01,0.28
0.986885,0.01,0.29
0.996885,0.01,0.3
1.00689,0.01,0.31
1.01689,0.01,0.32
1.02689,0.01,0.33
1.03689,0.01,0.34
1.04689,0.01,0.35
1.05689,0.01,0.36
1.06689,0.01,0.37
1.07689,0.01,0.38
1.08689,0.01,0.39
1.09689,0.01,0.4
1.10689,0.01,0.41
1.11689,0.01,0.42
1.12689,0.01,0.43
1.13689,0.01,0.44
1.14689,0.01,0.45
1.15689,0.01,0.46
1.16689,0.01,0.47
1.17689,0.01,0.48
1.18689,0.01,0.49
1.19689,0.01,0.5
1.20689,0.01,0.51
1.21689,0.01,0.52
1.22689,0.01,0.53
1.23689,0.01,0.54
1.24689,0.01,0.55
1.25689,0.01,0.56
1.26689,0.01,0.57
1.27689,0.01,0.58
1.28689,0.01,0.59
1.29689,0.01,0.6
1.30689,0.01,0.61
1.31689,0.01,0.62
1.32689,0.01,0.63
1.33689,0.01,0.64
1.34689,0.01,0.65
1.35689,0.01,0.66
1.36689,0.01,0.67
1.37689,0.01,0.68
1.38689,0.01,0.69
1.39689,0.01,0.7
1.40689,0.01,0.71
1.41689,0.01,0.72
1.42689,0.01,0.73
1.43689,0.01,0.74
1.44689,0.01,0.75
1.45689,0.01,0.76
1.46689,0.01,0.77
1.47689,0.01,0.78
1.48689,0.01,0.79
1.49689,0.01,0.8
1.50689,0.01,0.81
1.51689,0.01,0.82
1.52689,0.01,0.83
1.53689,0.01,0.84
1.54689,0.01,0.85
1.55689,0.01,0.86
1.56689,0.01,0.87
1.57689,0.01,0.88
1.58689,0.01,0.89
1.59689,0.01,0.9
1.60689,0.01,0.91
1.61689,0.01,0.92
1.62689,0.01,0.93
1.63689,0.01,0.94
1.64689,0.01,0.95
1.65689,0.01,0.96
1.66689,0.01,0.97
1.67689,0.01,0.98
1.68689,0.01,0.99
1.69689,0.01,1
