Path Cost Cserna,Probability Cserna,CDF Cserna
0.437469,0.0199,0.0199
0.447469,0.0197,0.0396
0.457469,0.0195,0.0591
0.467469,0.0193,0.0784
0.477469,0.0191,0.0975
0.487469,0.0189,0.1164
0.497469,0.0187,0.1351
0.507469,0.0185,0.1536
0.517469,0.0183,0.1719
0.527469,0.0181,0.19
0.537469,0.0179,0.2079
0.547469,0.0177,0.2256
0.557469,0.0175,0.2431
0.567469,0.0173,0.2604
0.577469,0.0171,0.2775
0.587469,0.0169,0.2944
0.597469,0.0167,0.3111
0.607469,0.0165,0.3276
0.617469,0.0163,0.3439
0.627469,0.0161,0.36
0.637469,0.0159,0.3759
0.647469,0.0157,0.3916
0.657469,0.0155,0.4071
0.667469,0.0153,0.4224
0.677469,0.0151,0.4375
0.687469,0.0149,0.4524
0.697469,0.0147,0.4671
0.707469,0.0145,0.4816
0.717469,0.0143,0.4959
0.727469,0.0141,0.51
0.737469,0.0139,0.5239
0.747469,0.0137,0.5376
0.757469,0.0135,0.5511
0.767469,0.0133,0.5644
0.777469,0.0131,0.5775
0.787469,0.0129,0.5904
0.797469,0.0127,0.6031
0.807469,0.0125,0.6156
0.817469,0.0123,0.6279
0.827469,0.0121,0.64
0.837469,0.0119,0.6519
0.847469,0.0117,0.6636
0.857469,0.0115,0.6751
0.867469,0.0113,0.6864
0.877469,0.0111,0.6975
0.887469,0.0109,0.7084
0.897469,0.0107,0.7191
0.907469,0.0105,0.7296
0.917469,0.0103,0.7399
0.927469,0.0101,0.75
0.937469,0.0099,0.7599
0.947469,0.0097,0.7696
0.957469,0.0095,0.7791
0.967469,0.0093,0.7884
0.977469,0.0091,0.7975
0.987469,0.0089,0.8064
0.997469,0.0087,0.8151
1.00747,0.0085,0.8236
1.01747,0.0083,0.8319
1.02747,0.0081,0.84
1.03747,0.0079,0.8479
1.04747,0.0077,0.8556
1.05747,0.0075,0.8631
1.06747,0.0073,0.8704
1.07747,0.0071,0.8775
1.08747,0.0069,0.8844
1.09747,0.0067,0.8911
1.10747,0.0065,0.8976
1.11747,0.0063,0.9039
1.12747,0.0061,0.91
1.13747,0.0059,0.9159
1.14747,0.0057,0.9216
1.15747,0.0055,0.9271
1.16747,0.0053,0.9324
1.17747,0.0051,0.9375
1.18747,0.0049,0.9424
1.19747,0.0047,0.9471
1.20747,0.0045,0.9516
1.21747,0.0043,0.9559
1.22747,0.0041,0.96
1.23747,0.0039,0.9639
1.24747,0.0037,0.9676
1.25747,0.0035,0.9711
1.26747,0.0033,0.9744
1.27747,0.0031,0.9775
1.28747,0.0029,0.9804
1.29747,0.0027,0.9831
1.30747,0.0025,0.9856
1.31747,0.0023,0.9879
1.32747,0.0021,0.99
1.33747,0.0019,0.9919
1.34747,0.0017,0.9936
1.35747,0.0015,0.9951
1.36747,0.0013,0.9964
1.37747,0.0011,0.9975
1.38747,0.0009,0.9984
1.39747,0.0007,0.9991
1.40747,0.0005,0.9996
1.41747,0.0003,0.9999
1.42747,0.0001,1
