Path Cost Cserna,Probability Cserna,CDF Cserna
1.06927,2.66631e-05,2.66631e-05
1.07327,2.71469e-05,5.38099e-05
1.07727,2.76384e-05,8.14484e-05
1.08127,2.81379e-05,0.000109586
1.08527,2.86454e-05,0.000138232
1.08927,2.91609e-05,0.000167393
1.09327,2.96847e-05,0.000197077
1.09727,3.02168e-05,0.000227294
1.10127,3.07573e-05,0.000258051
1.10527,3.13064e-05,0.000289358
1.10927,3.18641e-05,0.000321222
1.11327,3.24306e-05,0.000353652
1.11727,3.30059e-05,0.000386658
1.12127,3.35903e-05,0.000420249
1.12527,3.41838e-05,0.000454433
1.12927,3.47865e-05,0.000489219
1.13327,3.53986e-05,0.000524618
1.13727,3.60201e-05,0.000560638
1.14127,3.66513e-05,0.000597289
1.14527,3.72921e-05,0.000634581
1.14927,3.79428e-05,0.000672524
1.15327,3.86035e-05,0.000711127
1.15727,3.92742e-05,0.000750402
1.16127,3.99552e-05,0.000790357
1.16527,4.06465e-05,0.000831003
1.16927,4.13482e-05,0.000872351
1.17327,4.20606e-05,0.000914412
1.17727,4.27837e-05,0.000957196
1.18127,4.35177e-05,0.00100071
1.18527,4.42627e-05,0.00104498
1.18927,4.50188e-05,0.00108999
1.19327,4.57862e-05,0.00113578
1.19727,4.65649e-05,0.00118235
1.20127,4.73553e-05,0.0012297
1.20527,4.81573e-05,0.00127786
1.20927,4.89711e-05,0.00132683
1.21327,4.97969e-05,0.00137663
1.21727,5.06347e-05,0.00142726
1.22127,5.14849e-05,0.00147875
1.22527,5.23474e-05,0.00153109
1.22927,5.32224e-05,0.00158432
1.23327,5.41101e-05,0.00163843
1.23727,5.50107e-05,0.00169344
1.24127,5.59242e-05,0.00174936
1.24527,5.68509e-05,0.00180621
1.24927,5.77908e-05,0.001864
1.25327,5.87442e-05,0.00192275
1.25727,5.97111e-05,0.00198246
1.26127,6.06917e-05,0.00204315
1.26527,6.16863e-05,0.00210484
1.26927,6.26949e-05,0.00216753
1.27327,6.37177e-05,0.00223125
1.27727,6.47548e-05,0.002296
1.28127,6.58064e-05,0.00236181
1.28527,6.68728e-05,0.00242868
1.28927,6.79539e-05,0.00249664
1.29327,6.90501e-05,0.00256569
1.29727,7.01614e-05,0.00263585
1.30127,7.1288e-05,0.00270714
1.3054,9.9019e-05,0.00280615
1.3094,0.000100655,0.00290681
1.3134,0.000102315,0.00300912
1.3174,0.000103998,0.00311312
1.3214,0.000105705,0.00321883
1.3254,0.000107437,0.00332627
1.3294,0.000109192,0.00343546
1.3334,0.000110973,0.00354643
1.3374,0.000112778,0.00365921
1.3414,0.000114609,0.00377382
1.3454,0.000116465,0.00389028
1.3494,0.000118347,0.00400863
1.3534,0.000120256,0.00412889
1.3574,0.00012219,0.00425108
1.3614,0.000124151,0.00437523
1.3654,0.000126139,0.00450137
1.3694,0.000128155,0.00462952
1.3734,0.000130198,0.00475972
1.3774,0.000132268,0.00489199
1.3814,0.000134367,0.00502635
1.3854,0.000136494,0.00516285
1.38941,0.00013865,0.0053015
1.39341,0.000140835,0.00544233
1.39741,0.000143049,0.00558538
1.40141,0.000145293,0.00573067
1.40541,0.000147566,0.00587824
1.40941,0.00014987,0.00602811
1.41341,0.000152204,0.00618031
1.41741,0.000154569,0.00633488
1.42141,0.000156965,0.00649185
1.42541,0.000159392,0.00665124
1.42941,0.000161851,0.00681309
1.43341,0.000164342,0.00697743
1.43741,0.000166865,0.0071443
1.44141,0.000169421,0.00731372
1.44541,0.00017201,0.00748573
1.44941,0.000174632,0.00766036
1.45341,0.000177288,0.00783765
1.45741,0.000179977,0.00801763
1.46141,0.000182701,0.00820033
1.46541,0.000185459,0.00838579
1.46941,0.000188252,0.00857404
1.47341,0.00019108,0.00876512
1.47741,0.000193943,0.00895906
1.48141,0.000196842,0.0091559
1.48541,0.000199778,0.00935568
1.48941,0.000202749,0.00955843
1.49341,0.000205757,0.00976419
1.49741,0.000208803,0.00997299
1.50141,0.000211886,0.0101849
1.50541,0.000215006,0.0103999
1.50941,0.000218164,0.010618
1.51341,0.000221361,0.0108394
1.51741,0.000224596,0.011064
1.52141,0.00022787,0.0112919
1.52541,0.000231184,0.0115231
1.52941,0.000234537,0.0117576
1.53341,0.00023793,0.0119955
1.53741,0.000241363,0.0122369
1.54141,0.000244837,0.0124817
1.54541,0.000248352,0.0127301
1.54941,0.000251908,0.012982
1.55341,0.000255505,0.0132375
1.55741,0.000259144,0.0134966
1.56141,0.000262826,0.0137595
1.56541,0.00026655,0.014026
1.56941,0.000270317,0.0142963
1.57341,0.000274127,0.0145705
1.57741,0.00027798,0.0148484
1.58141,0.000281877,0.0151303
1.58542,0.000285818,0.0154161
1.58942,0.000289804,0.0157059
1.59342,0.000293834,0.0159998
1.59742,0.00029791,0.0162977
1.60142,0.00030203,0.0165997
1.60542,0.000306197,0.0169059
1.60942,0.000310409,0.0172163
1.61342,0.000314668,0.017531
1.61742,0.000318973,0.01785
1.62142,0.000323325,0.0181733
1.62542,0.000327724,0.018501
1.62942,0.000332171,0.0188332
1.63342,0.000336666,0.0191698
1.63742,0.000341209,0.019511
1.64142,0.0003458,0.0198568
1.64542,0.00035044,0.0202073
1.64942,0.000355129,0.0205624
1.65342,0.000359867,0.0209223
1.65742,0.000364655,0.0212869
1.66142,0.000369493,0.0216564
1.66542,0.000374381,0.0220308
1.66942,0.000379319,0.0224101
1.67342,0.000384308,0.0227944
1.67742,0.000389349,0.0231838
1.68142,0.00039444,0.0235782
1.68542,0.000399583,0.0239778
1.68942,0.000404778,0.0243826
1.69342,0.000410025,0.0247926
1.69742,0.000415325,0.0252079
1.70142,0.000420677,0.0256286
1.70542,0.000426082,0.0260547
1.70942,0.00043154,0.0264862
1.71342,0.000437051,0.0269233
1.71742,0.000442617,0.0273659
1.72142,0.000448236,0.0278141
1.72542,0.000453909,0.0282681
1.72942,0.000459637,0.0287277
1.73342,0.000465419,0.0291931
1.73742,0.000471256,0.0296644
1.74142,0.000477149,0.0301415
1.74542,0.000483096,0.0306246
1.74942,0.0004891,0.0311137
1.75342,0.000495159,0.0316089
1.75742,0.000501273,0.0321101
1.76142,0.000507444,0.0326176
1.76542,0.000513672,0.0331313
1.76942,0.000519956,0.0336512
1.77342,0.000526297,0.0341775
1.77743,0.000532694,0.0347102
1.78143,0.000539149,0.0352494
1.78543,0.000545661,0.035795
1.78943,0.000552231,0.0363472
1.79343,0.000558858,0.0369061
1.79743,0.000565543,0.0374716
1.80143,0.000572286,0.0380439
1.80543,0.000579087,0.038623
1.80943,0.000585946,0.039209
1.81343,0.000592864,0.0398018
1.81743,0.00059984,0.0404017
1.82143,0.000606875,0.0410085
1.82543,0.000613968,0.0416225
1.82943,0.000621121,0.0422436
1.83343,0.000628332,0.042872
1.83743,0.000635602,0.0435076
1.84143,0.000642932,0.0441505
1.84543,0.000650321,0.0448008
1.84943,0.000657769,0.0454586
1.85343,0.000665276,0.0461239
1.85743,0.000672843,0.0467967
1.86143,0.000680469,0.0474772
1.86543,0.000688155,0.0481653
1.86943,0.000695901,0.0488612
1.87343,0.000703706,0.0495649
1.87743,0.000711571,0.0502765
1.88143,0.000719495,0.050996
1.88543,0.000727479,0.0517235
1.88943,0.000735523,0.052459
1.89343,0.000743626,0.0532026
1.89743,0.000751789,0.0539544
1.90143,0.000760012,0.0547144
1.90543,0.000768294,0.0554827
1.90943,0.000776636,0.0562594
1.91343,0.000785037,0.0570444
1.91743,0.000793498,0.0578379
1.92143,0.000802018,0.0586399
1.92543,0.000810598,0.0594505
1.92943,0.000819236,0.0602698
1.93343,0.000827934,0.0610977
1.93743,0.000836691,0.0619344
1.94143,0.000845506,0.0627799
1.94543,0.00085438,0.0636343
1.94943,0.000863313,0.0644976
1.95343,0.000872305,0.0653699
1.95743,0.000881355,0.0662512
1.96143,0.000890463,0.0671417
1.96543,0.000899628,0.0680413
1.96943,0.000908852,0.0689502
1.97344,0.000918133,0.0698683
1.97744,0.000927472,0.0707958
1.98144,0.000936868,0.0717327
1.98544,0.000946321,0.072679
1.98944,0.00095583,0.0736348
1.99344,0.000965396,0.0746002
1.99744,0.000975018,0.0755752
2.00144,0.000984696,0.0765599
2.00544,0.00099443,0.0775543
2.00944,0.00100422,0.0785586
2.01344,0.00101406,0.0795726
2.01744,0.00102396,0.0805966
2.02144,0.00103392,0.0816305
2.02544,0.00104392,0.0826744
2.02944,0.00105398,0.0837284
2.03344,0.0010641,0.0847925
2.03744,0.00107427,0.0858668
2.04144,0.00108448,0.0869513
2.04544,0.00109476,0.088046
2.04944,0.00110508,0.0891511
2.05344,0.00111546,0.0902666
2.05744,0.00112588,0.0913924
2.06144,0.00113636,0.0925288
2.06544,0.00114688,0.0936757
2.06944,0.00115746,0.0948331
2.07344,0.00116809,0.0960012
2.07744,0.00117876,0.09718
2.08144,0.00118948,0.0983695
2.08544,0.00120025,0.0995697
2.08944,0.00121107,0.100781
2.09344,0.00122193,0.102003
2.09744,0.00123284,0.103236
2.10144,0.00124379,0.104479
2.10544,0.00125479,0.105734
2.10944,0.00126583,0.107
2.11344,0.00127692,0.108277
2.11744,0.00128804,0.109565
2.12144,0.00129921,0.110864
2.12544,0.00131043,0.112175
2.12944,0.00132168,0.113496
2.13344,0.00133297,0.114829
2.13744,0.00134431,0.116174
2.14144,0.00135568,0.117529
2.14544,0.00136709,0.118896
2.14944,0.00137853,0.120275
2.15344,0.00139002,0.121665
2.15744,0.00140154,0.123066
2.16144,0.00141309,0.124479
2.16544,0.00142468,0.125904
2.16944,0.0014363,0.12734
2.17344,0.00144796,0.128788
2.17744,0.00145965,0.130248
2.18145,0.00147136,0.131719
2.18545,0.00148311,0.133203
2.18945,0.00149489,0.134697
2.19345,0.0015067,0.136204
2.19745,0.00151853,0.137723
2.20145,0.00153039,0.139253
2.20545,0.00154227,0.140795
2.20945,0.00155418,0.142349
2.21345,0.00156612,0.143916
2.21745,0.00157808,0.145494
2.22145,0.00159006,0.147084
2.22545,0.00160206,0.148686
2.22945,0.00161408,0.1503
2.23345,0.00162612,0.151926
2.23745,0.00163817,0.153564
2.24145,0.00165025,0.155214
2.24545,0.00166234,0.156877
2.24945,0.00167444,0.158551
2.25345,0.00168656,0.160238
2.25745,0.00169869,0.161936
2.26145,0.00171083,0.163647
2.26545,0.00172299,0.16537
2.26945,0.00173515,0.167105
2.27345,0.00174732,0.168853
2.27745,0.0017595,0.170612
2.28145,0.00177168,0.172384
2.28545,0.00178387,0.174168
2.28945,0.00179606,0.175964
2.29345,0.00180826,0.177772
2.29745,0.00182045,0.179593
2.30145,0.00183265,0.181425
2.30545,0.00184484,0.18327
2.30945,0.00185703,0.185127
2.31345,0.00186922,0.186996
2.31745,0.00188141,0.188878
2.32145,0.00189358,0.190771
2.32545,0.00190575,0.192677
2.32945,0.00191792,0.194595
2.33345,0.00193007,0.196525
2.33745,0.00194221,0.198467
2.34145,0.00195434,0.200422
2.34545,0.00196645,0.202388
2.34945,0.00197855,0.204367
2.35345,0.00199063,0.206357
2.35745,0.0020027,0.20836
2.36145,0.00201474,0.210375
2.36545,0.00202677,0.212401
2.36945,0.00203877,0.21444
2.37345,0.00205075,0.216491
2.37745,0.0020627,0.218554
2.38145,0.00207463,0.220628
2.38545,0.00208653,0.222715
2.38945,0.00209841,0.224813
2.39345,0.00211025,0.226923
2.39745,0.00212206,0.229045
2.40145,0.00213384,0.231179
2.40546,0.00214558,0.233325
2.40946,0.00215729,0.235482
2.41346,0.00216896,0.237651
2.41746,0.00218059,0.239832
2.42146,0.00219218,0.242024
2.42546,0.00220373,0.244228
2.42946,0.00221524,0.246443
2.43346,0.0022267,0.24867
2.43746,0.00223811,0.250908
2.44146,0.00224948,0.253157
2.44546,0.0022608,0.255418
2.44946,0.00227207,0.25769
2.45346,0.00228329,0.259973
2.45746,0.00229445,0.262268
2.46146,0.00230556,0.264573
2.46546,0.00231661,0.26689
2.46946,0.00232761,0.269218
2.47346,0.00233854,0.271556
2.47746,0.00234942,0.273906
2.48146,0.00236023,0.276266
2.48546,0.00237098,0.278637
2.48946,0.00238166,0.281018
2.49346,0.00239228,0.283411
2.49746,0.00240283,0.285814
2.50146,0.00241331,0.288227
2.50546,0.00242372,0.290651
2.50946,0.00243405,0.293085
2.51346,0.00244431,0.295529
