

Path Cost Cserna,Probability Cserna,CDF Cserna
0.0740897,0.019802,0.019802
0.0840897,0.019604,0.0394059
0.0940897,0.0194059,0.0588119
0.10409,0.0192079,0.0780198
0.11409,0.0190099,0.0970297
0.12409,0.0188119,0.115842
0.13409,0.0186139,0.134455
0.14409,0.0184158,0.152871
0.15409,0.0182178,0.171089
0.16409,0.0180198,0.189109
0.17409,0.0178218,0.206931
0.18409,0.0176238,0.224554
0.19409,0.0174257,0.24198
0.20409,0.0172277,0.259208
0.21409,0.0170297,0.276238
0.22409,0.0168317,0.293069
0.23409,0.0166337,0.309703
0.24409,0.0164356,0.326139
0.25409,0.0162376,0.342376
0.26409,0.0160396,0.358416
0.27409,0.0158416,0.374257
0.28409,0.0156436,0.389901
0.29409,0.0154455,0.405347
0.30409,0.0152475,0.420594
0.31409,0.0150495,0.435644
0.32409,0.0148515,0.450495
0.33409,0.0146535,0.465149
0.34409,0.0144554,0.479604
0.35409,0.0142574,0.493861
0.36409,0.0140594,0.507921
0.37409,0.0138614,0.521782
0.38409,0.0136634,0.535446
0.39409,0.0134653,0.548911
0.40409,0.0132673,0.562178
0.41409,0.0130693,0.575248
0.42409,0.0128713,0.588119
0.43409,0.0126733,0.600792
0.44409,0.0124752,0.613267
0.45409,0.0122772,0.625545
0.46409,0.0120792,0.637624
0.47409,0.0118812,0.649505
0.48409,0.0116832,0.661188
0.49409,0.0114851,0.672673
0.50409,0.0112871,0.68396
0.51409,0.0110891,0.69505
0.52409,0.0108911,0.705941
0.53409,0.0106931,0.716634
0.54409,0.010495,0.727129
0.55409,0.010297,0.737426
0.56409,0.010099,0.747525
0.57409,0.00990099,0.757426
0.58409,0.00970297,0.767129
0.59409,0.00950495,0.776634
0.60409,0.00930693,0.785941
0.61409,0.00910891,0.79505
0.62409,0.00891089,0.80396
0.63409,0.00871287,0.812673
0.64409,0.00851485,0.821188
0.65409,0.00831683,0.829505
0.66409,0.00811881,0.837624
0.67409,0.00792079,0.845545
0.68409,0.00772277,0.853267
0.69409,0.00752475,0.860792
0.704824,0.00993824,0.87073
0.714815,0.00943319,0.880164
0.724804,0.00894403,0.889108
0.734794,0.0084705,0.897578
0.744783,0.00801239,0.90559
0.754772,0.00756945,0.91316
0.764761,0.00714146,0.920301
0.774749,0.00672816,0.92703
0.784737,0.00632934,0.933359
0.794724,0.00594475,0.939304
0.804711,0.00557416,0.944878
0.814697,0.00521733,0.950095
0.824683,0.00487403,0.954969
0.834669,0.00454403,0.959513
0.844654,0.00422708,0.96374
0.854638,0.00392295,0.967663
0.864622,0.00363141,0.971295
0.874605,0.00335222,0.974647
0.884588,0.00308515,0.977732
0.89457,0.00282996,0.980562
0.904551,0.00258641,0.983148
0.914531,0.00235428,0.985503
0.924511,0.00213332,0.987636
0.934489,0.0019233,0.989559
0.944467,0.00172399,0.991283
0.954443,0.00153514,0.992818
0.964419,0.00135653,0.994175
0.974393,0.00118792,0.995363
0.984366,0.00102908,0.996392
0.994337,0.000879757,0.997272
1.00431,0.000739731,0.998011
1.01428,0.000608764,0.99862
1.02424,0.000486619,0.999107
1.03421,0.000373061,0.99948
1.04417,0.000267856,0.999748
1.05413,0.000170768,0.999918
1.06409,8.15606e-05,1
