Path Cost Node 1,Probability Node 1,CDF Node 1
0.0740897,0.019802,0.019802
0.0840897,0.019604,0.0394059
0.0940897,0.0194059,0.0588119
0.10409,0.0192079,0.0780198
0.11409,0.0190099,0.0970297
0.12409,0.0188119,0.115842
0.13409,0.0186139,0.134455
0.14409,0.0184158,0.152871
0.15409,0.0182178,0.171089
0.16409,0.0180198,0.189109
0.17409,0.0178218,0.206931
0.18409,0.0176238,0.224554
0.19409,0.0174257,0.24198
0.20409,0.0172277,0.259208
0.21409,0.0170297,0.276238
0.22409,0.0168317,0.293069
0.23409,0.0166337,0.309703
0.24409,0.0164356,0.326139
0.25409,0.0162376,0.342376
0.26409,0.0160396,0.358416
0.27409,0.0158416,0.374257
0.28409,0.0156436,0.389901
0.29409,0.0154455,0.405347
0.30409,0.0152475,0.420594
0.31409,0.0150495,0.435644
0.32409,0.0148515,0.450495
0.33409,0.0146535,0.465149
0.34409,0.0144554,0.479604
0.35409,0.0142574,0.493861
0.36409,0.0140594,0.507921
0.37409,0.0138614,0.521782
0.38409,0.0136634,0.535446
0.39409,0.0134653,0.548911
0.40409,0.0132673,0.562178
0.41409,0.0130693,0.575248
0.42409,0.0128713,0.588119
0.43409,0.0126733,0.600792
0.44409,0.0124752,0.613267
0.45409,0.0122772,0.625545
0.46409,0.0120792,0.637624
0.47409,0.0118812,0.649505
0.48409,0.0116832,0.661188
0.49409,0.0114851,0.672673
0.50409,0.0112871,0.68396
0.51409,0.0110891,0.69505
0.52409,0.0108911,0.705941
0.53409,0.0106931,0.716634
0.54409,0.010495,0.727129
0.55409,0.010297,0.737426
0.56409,0.010099,0.747525
0.57409,0.00990099,0.757426
0.58409,0.00970297,0.767129
0.59409,0.00950495,0.776634
0.60409,0.00930693,0.785941
0.61409,0.00910891,0.79505
0.62409,0.00891089,0.80396
0.63409,0.00871287,0.812673
0.64409,0.00851485,0.821188
0.65409,0.00831683,0.829505
0.66409,0.00811881,0.837624
0.67409,0.00792079,0.845545
0.68409,0.00772277,0.853267
0.69409,0.00752475,0.860792
0.70409,0.00732673,0.868119
0.71409,0.00712871,0.875248
0.72409,0.00693069,0.882178
0.73409,0.00673267,0.888911
0.74409,0.00653465,0.895446
0.75409,0.00633663,0.901782
0.76409,0.00613861,0.907921
0.77409,0.00594059,0.913861
0.78409,0.00574257,0.919604
0.79409,0.00554455,0.925149
0.80409,0.00534653,0.930495
0.81409,0.00514851,0.935644
0.82409,0.0049505,0.940594
0.83409,0.00475248,0.945347
0.84409,0.00455446,0.949901
0.85409,0.00435644,0.954257
0.86409,0.00415842,0.958416
0.87409,0.0039604,0.962376
0.88409,0.00376238,0.966139
0.89409,0.00356436,0.969703
0.90409,0.00336634,0.973069
0.91409,0.00316832,0.976238
0.92409,0.0029703,0.979208
0.93409,0.00277228,0.98198
0.94409,0.00257426,0.984554
0.95409,0.00237624,0.986931
0.96409,0.00217822,0.989109
0.97409,0.0019802,0.991089
0.98409,0.00178218,0.992871
0.99409,0.00158416,0.994455
1.00409,0.00138614,0.995842
1.01409,0.00118812,0.99703
1.02409,0.000990099,0.99802
1.03409,0.000792079,0.998812
1.04409,0.000594059,0.999406
1.05409,0.00039604,0.999802
1.06409,0.00019802,1
