Path Cost Node 1,Probability Node 1,CDF Node 1
0.0740897,0.01,0.01
0.0840897,0.01,0.02
0.0940897,0.01,0.03
0.10409,0.01,0.04
0.11409,0.01,0.05
0.12409,0.01,0.06
0.13409,0.01,0.07
0.14409,0.01,0.08
0.15409,0.01,0.09
0.16409,0.01,0.1
0.17409,0.01,0.11
0.18409,0.01,0.12
0.19409,0.01,0.13
0.20409,0.01,0.14
0.21409,0.01,0.15
0.22409,0.01,0.16
0.23409,0.01,0.17
0.24409,0.01,0.18
0.25409,0.01,0.19
0.26409,0.01,0.2
0.27409,0.01,0.21
0.28409,0.01,0.22
0.29409,0.01,0.23
0.30409,0.01,0.24
0.31409,0.01,0.25
0.32409,0.01,0.26
0.33409,0.01,0.27
0.34409,0.01,0.28
0.35409,0.01,0.29
0.36409,0.01,0.3
0.37409,0.01,0.31
0.38409,0.01,0.32
0.39409,0.01,0.33
0.40409,0.01,0.34
0.41409,0.01,0.35
0.42409,0.01,0.36
0.43409,0.01,0.37
0.44409,0.01,0.38
0.45409,0.01,0.39
0.46409,0.01,0.4
0.47409,0.01,0.41
0.48409,0.01,0.42
0.49409,0.01,0.43
0.50409,0.01,0.44
0.51409,0.01,0.45
0.52409,0.01,0.46
0.53409,0.01,0.47
0.54409,0.01,0.48
0.55409,0.01,0.49
0.56409,0.01,0.5
0.57409,0.01,0.51
0.58409,0.01,0.52
0.59409,0.01,0.53
0.60409,0.01,0.54
0.61409,0.01,0.55
0.62409,0.01,0.56
0.63409,0.01,0.57
0.64409,0.01,0.58
0.65409,0.01,0.59
0.66409,0.01,0.6
0.67409,0.01,0.61
0.68409,0.01,0.62
0.69409,0.01,0.63
0.70409,0.01,0.64
0.71409,0.01,0.65
0.72409,0.01,0.66
0.73409,0.01,0.67
0.74409,0.01,0.68
0.75409,0.01,0.69
0.76409,0.01,0.7
0.77409,0.01,0.71
0.78409,0.01,0.72
0.79409,0.01,0.73
0.80409,0.01,0.74
0.81409,0.01,0.75
0.82409,0.01,0.76
0.83409,0.01,0.77
0.84409,0.01,0.78
0.85409,0.01,0.79
0.86409,0.01,0.8
0.87409,0.01,0.81
0.88409,0.01,0.82
0.89409,0.01,0.83
0.90409,0.01,0.84
0.91409,0.01,0.85
0.92409,0.01,0.86
0.93409,0.01,0.87
0.94409,0.01,0.88
0.95409,0.01,0.89
0.96409,0.01,0.9
0.97409,0.01,0.91
0.98409,0.01,0.92
0.99409,0.01,0.93
1.00409,0.01,0.94
1.01409,0.01,0.95
1.02409,0.01,0.96
1.03409,0.01,0.97
1.04409,0.01,0.98
1.05409,0.01,0.99
1.06409,0.01,1
